"doc_id","text"
"1396721787690307584","Peringatan dini cuaca wilayah Jabodetabek [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/eJZyLhhvmg"
"1396720434893058051","Peringatan dini cuaca wilayah Kepulauan Riau [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/NwBKnXKCFh"
"1396719795916083200","Peringatan dini cuaca wilayah Jawa Tengah [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/RJH1UMWm2V"
"1396719738928001024","Update Peringatan Dini Cuaca Wilayah - Jabodetabek Tgl. 24 Mei 2021 pkl. 14:15 WIB
Prakirawan - BMKG - Pusat
https://t.co/wzKRfDRx1n"
"1396719432794136577","Update Peringatan Dini Cuaca Wilayah - Jawa Tengah Tgl. 24 Mei 2021 pkl. 13:56 WIB
Prakirawan - BMKG - Jawa Tengah
https://t.co/wzKRfDRx1n"
"1396716557321981961","Peringatan dini cuaca wilayah Jawa Timur [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/GRwcXmP7wI"
"1396716184821669888","Peringatan dini cuaca wilayah Kalimantan Tengah [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/rMz7yw9y9p"
"1396713449187528709","https://t.co/wItm1jgU0x"
"1396713315770900482","Halo Sobat BMKG

Mari kita berjemur!
Yuk kita lihat Prakiraan Cuaca Esok Hari dari pukul 07.00 sd 10.00 WIB

Atau unduh aplikasi InfoBMKG melalui Appstore dan Playstore

#infobmkgpws #markicugrafis #24mei2021pws https://t.co/BpHpIzThaW"
"1396712359092129792","Peringatan dini cuaca wilayah Kalimantan Selatan [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/wyhoJk2C6E"
"1396712266691612672","https://t.co/iiqoeU9bIS"
"1396712126874488832","Halo Sobat BMKG

Mari cek potensi curah hujan di wilayah Indonesia tanggal 25 - 30 Mei 2021.

Tetap waspada selalu Sobat
#infobmkgpws
#markicugrafis #24mei2021pws https://t.co/snLvmTKN0i"
"1396711244493512706","https://t.co/8zLgK0PHfs"
"1396711100612182017","Halo Sobat BMKG

Mari cek potensi curah hujan di wilayah Jabodetabek tanggal 25 - 30 Mei 2021.

Tetap waspada selalu Sobat
#infobmkgpws
#markicugrafis #24mei2021pws https://t.co/mQL2DevlBC"
"1396710934027010049","Peringatan dini cuaca wilayah Sulawesi Tenggara [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/YiWvIkPkpo"
"1396705969002881024","Peringatan dini cuaca wilayah Kepulauan Bangka Belitung [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/SjR77jfuBE"
"1396704520806141952","Update Peringatan Dini Cuaca Wilayah - Jawa Barat Tgl. 24 Mei 2021 pkl. 13:15 WIB
Prakirawan - BMKG - Jawa Barat
https://t.co/wzKRfDRx1n"
"1396702195538546691","Halo Sobat BMKG

Berikut disampaikan Peringatan Dini Cuaca 24 - 26 Mei 2021

#infobmkgpws #markicugrafis #24mei2021pws https://t.co/2Q1OXT7dXb"
"1396699010144997379","Peringatan dini cuaca wilayah Jabodetabek [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/LcJFgMbENS"
"1396696615759466500","Peringatan dini cuaca wilayah Kepulauan Riau [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/dZYCEIRHAp"
"1396696350490730497","Update Peringatan Dini Cuaca Wilayah - Jabodetabek Tgl. 24 Mei 2021 pkl. 12:45 WIB
Prakirawan - BMKG - Pusat
https://t.co/wzKRfDRx1n"
"1396696219586420740","#Gempa Dirasakan Magnitudo: 2.9, Kedalaman: 4 km, 24 Mei 2021 11:43:50 WIB, Koordinat: 4.92 LS-103.96 BT (Pusat gempa berada di darat 15 km BaratLaut lampung), Dirasakan (MMI): II Liwa #BMKG https://t.co/OiHiTwdNUp"
"1396696148354555905","#Gempa Mag:2.9, 24-Mei-21 11:43:50 WIB, Lok:4.92 LS, 103.96 BT (Pusat gempa berada di darat 15 km BaratLaut lampung), Kedlmn:4 Km Dirasakan (MMI) II Liwa #BMKG https://t.co/EZR8eLb0aH"
"1396694546063396864","Peringatan dini cuaca wilayah Gorontalo [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/cGQ0YUrTfU"
"1396686020620427266","Peringatan dini cuaca wilayah Maluku [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/pxqXcN7mG9"
"1396682670051008513","Peringatan dini cuaca wilayah Sulawesi Utara [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/MFIzaXs6us"
"1396672035091206148","Peringatan dini cuaca wilayah Kepulauan Bangka Belitung [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/sCoYj25ki6"
"1396663353158733831","Peringatan dini cuaca wilayah Sulawesi Tenggara [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/mQPrjEmiEh"
"1396658856281862149","Peringatan dini cuaca wilayah Sulawesi Utara [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/8fYP1pkT0w"
"1396656325967323136","Peringatan dini cuaca wilayah Maluku [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/GzlkhtQmXp"
"1396647986315227137","https://t.co/X2FcLoFXrL"
"1396647799517712384","Halo Sobat BMKG 

Berikut disampaikan Prakiraan Cuaca Esok Hari untuk Wilayah DKI Jakarta (Per-Kecamatan).
Dapat diakses juga di link : https://t.co/nzb5ALcP2U

Dan unduh aplikasi InfoBMKG melalui Appstore dan Playstore

#infobmkgpws #markicugrafis #24mei2021pws https://t.co/GnLOu1sK6f"
"1396632265426292738","Peringatan dini cuaca wilayah Bali [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/A5QKUQiEuL"
"1396618383626432516","Peringatan dini cuaca wilayah Sulawesi Utara [24 Mei 2021] #BMKG
Selengkapnya klik tautan berikut https://t.co/xmSJM8L5gQ"
