"doc_id","screen_name","text"
"1421024070456332295","blijven08","@bertanyarl Selama isoman kalo ada gejala rajin minum obat yg dikasih, minum vitamin jg jgn lupa, rajin berjemur, minum air hangat, ttep jaga kebersihan, peralatan makan mandi dipisah, nyucinya jg sendiri, dan yg paling penting usahakan gak stress pikirannya, dibawa kegiatan yg bikin happy--"
"1421024064672387076","blkskml","doakan kakak i, nenek i and cousin i negative covid ye <U+0001F614>"
"1421024064068493312","latfhindahh","Ringkih banget aing :( baru juga sembuh covid eh skrng masuk angin"
"1421013944580202499","officialnova_id","Nggak perlu panik, ada kok cara mudah yang bisa dilakukan agar sertifikat vaksin muncul.

https://t.co/oK1p9M1CIc"
"1421024048364982272","officialnova_id","Salah satunya pilih pakai air hangat, cuci baju pasien isoman Covid-19 dengan benar agar tidak tertular.

https://t.co/ZnyDsaIcXn"
"1421024045747761156","suzyart79","Pandemi COVID-19 memang mengharuskan siapapun untuk selalu berada di rumah dan melakukan physical distancing atau jaga jarak fisik.Namun saat kebutuhan sudah menipis dan mengharuskan untuk kita pergi ke pasar atau swalayan, tetap patuh prokes"
"1421009834707546117","suzyart79","@DivHumas_Polri Selalu menghindari kerumunan merupakan salah satu protokol kesehatan yang wajib kita terapkan dalam aktivitas kita sehari-hari agar terhindar dari Covid-19.Selain itu, dengan menggunakan masker, penularan bisa ditekan jauh."
"1421024034477592581","vikockroach","Sudah berapa kenalan yang meninggal karena covid ini... It's just too much, man."
"1420999618771312647","VIVAcoid","Sikka Kalahkan Kupang dalam Kumlah Kasus Baru COVID-19 di NTT https://t.co/vxS6CGiZGy"
"1420957208129413121","VIVAcoid","Yani, Wanita Tangguh Relawan Pemulasaraan Jenazah Pasien COVID-19 https://t.co/yShic0Hj9z"
"1420972460221112320","VIVAcoid","Australia merupakan salah satu negara yang sudah menyetujui penggunaan vaksin COVID buatan Pfizer untuk mereka yang berusia 12 tahun ke atas,  lalu bagaimana perkembangan vaksin untuk mereka yang lebih muda dari itu? 
Selengkapnya: https://t.co/e6ORO6Ffae https://t.co/ElA6i87CaL"
"1421008689280946176","VIVAcoid","Cara Meningkatkan Saturasi Oksigen Pasien COVID-19 di Rumah https://t.co/M4O1dqFmpW"
"1421014215939088384","VIVAcoid","#Trending

Gubernur Bank Indonesia mendorong Pemerintah untuk mempercepat proses vaksinasi COVID-19. Karena dengan dipercepatnya proses vaksinasi maka akan beriringan kuat dengan cepatnya proses pemulihan ekonomi nasional 

https://t.co/3YnBqnpisL"
"1421024024566538245","VIVAcoid","Mendagri: COVID-19 Krisis yang Panjang, Sudah 1,5 Tahun https://t.co/Ky6dvSzCYa"
"1421008696381870081","VIVAcoid","Daftar Efikasi Vaksin COVID-19 di Indonesia, Mana yang Paling Tinggi? https://t.co/SALuFkYBfS"
"1421022286555992070","VIVAcoid","Airlangga: Pemerintah Selalu Memastikan Efikasi Vaksin COVID-19 https://t.co/SuhGfaaby7"
"1420993318431821828","VIVAcoid","COVID-19 Juga Sebabkan Demensia hingga Parkinson, Ini Kata Pakar https://t.co/Ps0awuTNGc"
"1420973442120052737","VIVAcoid","Bali Klaim Vaksinasi COVID-19 Dosis Pertama Lebih dari 100 Persen https://t.co/m1EcxM6LuQ"
"1421003009564102659","VIVAcoid","Orang Tua Tantri Kotak Positif COVID-19, Kesehatannya Sempat Menurun https://t.co/jxqkXG4t83"
"1420986275574607878","VIVAcoid","Penularan Virus COVID-19 Varian Delta Lebih Cepat, Ini Alasannya https://t.co/UV6Qk3ZR8C"
"1421024024507817989","Irfanisme20","Karna ya kantor aing yang bergantung dari klient semua dana nya mandek! Bangsat emang ini si covid. Bukan tidak mungkin kedepannya aing juga bakalan di rumahkan, bukan karna kerja buruk, indisipliner ya tapi karna udah gak sanggup buat bayar"
"1421023615831535616","Irfanisme20","Pandemi gara gara covid ini memang bajingan sekali, bagaimana enggak, kantor aing yang sedari awal pandemi fine fine aja,royal ke karyawan dan ke vendor lambat laun goyah juga. Sekarang imbasnya, udah beberapa karyawan terpaksa di rumahkan ""bukan karna wfh"" ya."
"1420974953977901056","eradotid","Jumlah pasien 2.925 orang tersebut berkurang 143 orang dibandingkan hari sebelumnya sebanyak 3.068 pasien. https://t.co/2opJkJBBj2"
"1420960346928402434","eradotid","Menurutnya, ""lockdown"" belum tentu memberikan solusi bagi masalah COVID-19. https://t.co/80fpxTdx9a"
"1421024020921667590","eradotid","Semoga covid cepat melandai https://t.co/KLtwwZfcsr"
"1420969668974501891","eradotid","emunculan varian Delta juga memabwa gelombang lonjakan kasus COVID-19 di berbagai negara lainnya. https://t.co/znZvGA0JZV"
"1421004385895665674","eradotid","Jumlah kasus infeksi corona nasional India mencapai 31,57 juta, menurut kementerian kesehatan negara itu. https://t.co/MmCDK7lcDs"
"1420999615193640964","eradotid","Kondisi ini membaik usai dihantam ledakan virus Covid-19 gelombang kedua sejak dua bulan lalu. https://t.co/q3Jg73OOmI"
"1421003883208331265","eradotid","Semoga covid-19 segera mereda https://t.co/KvztzZH2wY"
"1421024001346859010","0709Kodim","Koramil 10 Prembun melalui Babinsa Sertu Sumardi bersama Personel BKO Yonif 406/CK dan Babinkamtibmas Polsek Prembun serta Tim Penanganan Covid-19 Kecamatan Prembun melaksanakan pengamanan dan memonitor jalannya pemakaman warga dengan protokol kesehatan di Desa Sembirkadipaten. https://t.co/W9VPrJ7HX0"
"1421023076632825858","0709Kodim","Babinsa Posramil Bonorowo kawal pendistribusian beras dari Bulog ke Kantor desa Bonjok lor bagi warga yang terdampak Virus Covid-19. https://t.co/p5Uc6YOPFV"
"1421023706952785928","0709Kodim","Koramil 15/Klirong bersama Polsek Klirong lakukan pendampingan pelaksanaan penyuntikan vaksinasi Covid-19 terhadap warga yang masuk dalam kategori ODGJ (Orang Dalam Gangguan Jiwa) yang di lakukan oleh petugas kesehatan UPT Puskesmas Klirong,Kabupaten Kebumen. https://t.co/2cPkD6qZWm"
"1421023279720980487","0709Kodim","Dalam rangka percepatan vaksinasi bagi masyarakat di Kabupaten Kebumen, Kodim 0709/Kebumen terus gencar menggelar kegiatan Serbuan Vaksinasi Covid 19 bertempat di Klinik Pratama Kartika. https://t.co/nqNpfnJuSM"
"1421023992668856323","ii_oval","@darma242 Wkwk gesre ku terhalang covid"
"1421004177950445572","jawapos","Pemkot Rumuskan Kebijakan Jangka Panjang Hidup Berdampingan Covid https://t.co/xRUpbhVCjZ"
"1420962721269383171","jawapos","Wapres Minta Bali Tingkatkan 3T untuk Turunkan Kasus Covid-19 https://t.co/Bpw22mn5bu"
"1420965462788251652","jawapos","Pemkot Surabaya Rumuskan Kebijakan Jangka Panjang Penanganan Covid-19 https://t.co/ifSIMotWGf"
"1420961649800802306","jawapos","Jumlah Pasien Covid di RSUD Tidar Turun https://t.co/l6qcUgZg6K"
"1420968207075004417","jawapos","Kasus Naik Tanpa Terprediksi, Jokowi Keluhkan Covid-19 Varian Delta https://t.co/xvxuDVMv6D"
"1421014882711789573","jawapos","Mendagri Semangati Jajaran Pemda Bisa Keluar dari Pandemi Covid-19 https://t.co/UTQ4Y5rs1i"
"1421023985093861379","jawapos","Tetap Jaga Prokes Meski Sudah Divaksin https://t.co/p2rEYHOH7J"
"1420982113763958794","jawapos","Labkesda Dibangun untuk Layanan Covid-19 https://t.co/Ff5O8HO9Zp"
